Date	Hour	Temp [C]	Prec [mm]	RHave [%]	Wind [m/s]	Rad (W/m^2)
01/01/2013	00	-2	0	93	2.6	0
01/01/2013	01	-2.5	0	93	2.3	1.6
01/01/2013	02	-2.4	0	92	2	0
01/01/2013	03	-2.4	0	93	1.8	0
01/01/2013	04	-2.4	0	93	1.4	0
01/01/2013	05	-3.1	0	94	0.7	0
01/01/2013	06	-3.9	0	94	0.9	0
01/01/2013	07	-4.2	0	94	1.2	0
01/01/2013	08	-3.4	0	93	0.8	72
01/01/2013	09	-1	0	90	1.3	217.9
01/01/2013	10	2.3	0	82	1	289.4
01/01/2013	11	4.4	0	75	2.1	372
01/01/2013	12	5.7	0.2	73	2	418.2
01/01/2013	13	7.3	0	66	1.9	352.2
01/01/2013	14	7.6	0	65	1.5	252
01/01/2013	15	7.6	0	64	0.7	122.3
01/01/2013	16	5.8	0	71	1.9	7.6
01/01/2013	17	3.4	0	80	1.4	0
01/01/2013	18	2.7	0	82	1.9	0
01/01/2013	19	2.7	0	84	1.3	0
01/01/2013	20	2.5	0	84	1.5	0.5
01/01/2013	21	2.6	0	85	2.3	0
01/01/2013	22	2.8	0	87	1.3	0
02/01/2013	23	2.2	0	89	0.4	0
02/01/2013	00	1.6	0	91	1.1	0
02/01/2013	01	1.9	0.4	92	0.2	0
02/01/2013	02	2.2	0.2	92	1.7	2.5
02/01/2013	03	2.3	0	92	2.4	0
02/01/2013	04	2.6	0.8	92	1.8	6.2
02/01/2013	05	2.7	0.6	92	2	0
02/01/2013	06	2.7	1	92	1.3	2.1
02/01/2013	07	2.8	1	92	1.3	0
02/01/2013	08	2.9	0.8	92	2.1	0
02/01/2013	09	3	0.6	92	2.9	15.7
02/01/2013	10	3.3	1.2	92	2.8	25.8
02/01/2013	11	3.6	1.6	92	3.3	26.5
02/01/2013	12	3.8	1	92	3.5	28.6
02/01/2013	13	4	1	92	3.6	18.5
02/01/2013	14	4.1	1.8	92	4.1	12
02/01/2013	15	4.2	0.8	92	4.5	5.1
02/01/2013	16	3.7	0.2	92	4.8	0
02/01/2013	17	3.2	0.6	91	4.5	0
02/01/2013	18	3.2	0.2	91	3.5	0
02/01/2013	19	3.3	0	91	4.4	6
02/01/2013	20	3.5	0	90	4.4	0
02/01/2013	21	3.6	0	90	4.7	0
02/01/2013	22	3.7	0	91	4.7	3.7
03/01/2013	23	3.9	0	91	5.2	0
03/01/2013	00	4.1	0	91	4.6	0
03/01/2013	01	4.2	0	90	5.5	2.1
03/01/2013	02	4.3	0	90	4.9	0
03/01/2013	03	4.4	0	90	4.5	0
03/01/2013	04	4.7	0	90	4.2	9.2
03/01/2013	05	4.9	0	90	4.2	0
03/01/2013	06	4.8	0	90	2.8	0
03/01/2013	07	4.2	0	91	3.1	0
03/01/2013	08	3.4	0	92	2.7	30.7
03/01/2013	09	5.1	0	89	4.1	189
03/01/2013	10	7.4	0	81	5.8	309.7
03/01/2013	11	8.4	0	78	4.6	378
03/01/2013	12	9.2	0	75	4.4	395.8
03/01/2013	13	9.9	0	73	4.2	373.6
03/01/2013	14	10.3	0	71	3.4	275.8
03/01/2013	15	10.1	0	72	2.5	143.1
03/01/2013	16	8.1	0	81	1.1	21.7
03/01/2013	17	5.6	0	87	2.2	0
03/01/2013	18	4	0	90	1	0.2
03/01/2013	19	3.3	0	92	0.5	0.2
03/01/2013	20	1.4	0	93	1	0.9
03/01/2013	21	0.6	0	93	1.5	1.6
03/01/2013	22	1.4	0	93	1.4	0
04/01/2013	23	1	0	93	1.6	2.8
04/01/2013	00	1	0	93	1.9	0.2
04/01/2013	01	1.3	0	93	1	0
04/01/2013	02	0.6	0	93	1.2	0
04/01/2013	03	0	0	94	1.6	0
04/01/2013	04	0	0	94	1.1	0
04/01/2013	05	0.4	0	94	0.3	0
04/01/2013	06	0.1	0	94	0.3	0
04/01/2013	07	0.1	0	94	0.9	0
04/01/2013	08	-0.4	0	94	1.7	61.8
04/01/2013	09	2.3	0	93	1.3	180.9
04/01/2013	10	4.4	0	91	1.1	278.3
04/01/2013	11	6.9	0	80	3.4	346.6
04/01/2013	12	8.1	0	73	2.5	230.3
04/01/2013	13	8.1	0	72	3.3	197.5
04/01/2013	14	8.4	0	73	2.2	184.4
04/01/2013	15	8.3	0	75	1.7	108.9
04/01/2013	16	6.8	0	79	0.4	14.3
04/01/2013	17	3.8	0	88	0.9	0
04/01/2013	18	2.9	0	91	0.9	0
04/01/2013	19	1.6	0	92	1.3	0
04/01/2013	20	1.6	0	93	0.7	0
04/01/2013	21	0.1	0	93	1.8	0
04/01/2013	22	-0.2	0	93	0.5	0
05/01/2013	23	0.1	0	93	1.6	0
05/01/2013	00	0.3	0	93	1.6	0
05/01/2013	01	0.4	0	93	0.2	3.2
05/01/2013	02	0.1	0	94	0.5	0
05/01/2013	03	-0.5	0	94	2.1	1.6
05/01/2013	04	0.4	0	94	2.2	0
05/01/2013	05	0.8	0	92	1.1	0
05/01/2013	06	0.8	0	89	0.8	0
05/01/2013	07	0	0	91	2.5	2.1
05/01/2013	08	1.5	0	90	1.7	46.6
05/01/2013	09	2.7	0.2	87	1	121.2
05/01/2013	10	5	0	82	1	285.5
05/01/2013	11	7.3	0	77	2.4	381.9
05/01/2013	12	9	0	74	5	404.1
05/01/2013	13	10.6	0	71	1.6	350.1
05/01/2013	14	11.9	0	68	2.1	238.2
05/01/2013	15	11.7	0	70	1.8	127.4
05/01/2013	16	8.8	0	78	1.8	29.3
05/01/2013	17	5.7	0	87	1.2	0
05/01/2013	18	3.6	0	91	1.7	0
05/01/2013	19	2.6	0	92	1.4	0
05/01/2013	20	2	0	93	0.3	0
05/01/2013	21	0.4	0	93	1.8	0
05/01/2013	22	1.3	0	93	2.4	0
06/01/2013	23	2.9	0	93	2.4	2.5
06/01/2013	00	2.8	0	93	2.6	0
06/01/2013	01	3	0	93	1.8	0
06/01/2013	02	1.8	0	93	0.1	0
06/01/2013	03	0.2	0	94	1.2	0
06/01/2013	04	-0.2	0	94	2	0
06/01/2013	05	-0.3	0	94	0.3	0
06/01/2013	06	-1.8	0	94	1	0
06/01/2013	07	-1.5	0	94	0.9	0.5
06/01/2013	08	-1.6	0	94	1.5	42.2
06/01/2013	09	-0.1	0.2	94	0.9	169.2
06/01/2013	10	3	0	93	1.3	258.2
06/01/2013	11	5.1	0	90	3.1	243.5
06/01/2013	12	5.7	0	86	1.4	225.9
06/01/2013	13	5.8	0	86	1.5	251.1
06/01/2013	14	5.1	0	89	1.2	131.8
06/01/2013	15	5.1	0	90	1.1	54.7
06/01/2013	16	4.3	0	91	1.4	6.9
06/01/2013	17	2.9	0	92	1	0.2
06/01/2013	18	1.1	0	93	0.8	2.5
06/01/2013	19	0.3	0	93	1.1	0
06/01/2013	20	-0.3	0	94	0.6	2.3
06/01/2013	21	-0.9	0	94	1.4	0
06/01/2013	22	-0.3	0	94	0.6	0
07/01/2013	23	0.3	0	94	0.7	0
07/01/2013	00	0.2	0	94	1.2	0
07/01/2013	01	-0.4	0	94	0.9	0
07/01/2013	02	-0.6	0	94	1.5	0
07/01/2013	03	-0.7	0	94	1.1	0
07/01/2013	04	-0.3	0	94	1.7	0
07/01/2013	05	-0.4	0	94	0.9	0.2
07/01/2013	06	-0.4	0	94	1.2	0
07/01/2013	07	-0.9	0	94	1	0.2
07/01/2013	08	-0.8	0	94	1.1	24.7
07/01/2013	09	-0.8	0	94	0.3	82.4
07/01/2013	10	-0.3	0	94	1.3	172.2
07/01/2013	11	2.8	0.2	93	1.4	335.1
07/01/2013	12	5.3	0	92	1.4	370.6
07/01/2013	13	5.2	0	92	2	317.6
07/01/2013	14	5.2	0	92	2.1	244.4
07/01/2013	15	3.9	0	92	1.6	64.6
07/01/2013	16	2.7	0	93	1.5	5.5
07/01/2013	17	2.3	0	93	2.6	2.8
07/01/2013	18	2.8	0	93	0.9	0
07/01/2013	19	3.5	0	93	1.2	1.4
07/01/2013	20	3.5	0	93	0.7	7.4
07/01/2013	21	3.2	0	93	0.9	2.8
07/01/2013	22	3	0	93	1.2	0
08/01/2013	23	3.2	0.2	93	1.2	0
08/01/2013	00	3.5	0	93	1.4	1.6
08/01/2013	01	3.6	0	93	1.5	0.9
08/01/2013	02	3.7	0	93	1.9	1.6
08/01/2013	03	3.9	0	93	2.9	0
08/01/2013	04	3.8	0	93	3.6	0
08/01/2013	05	3.4	0	93	3.3	0
08/01/2013	06	3.1	0	93	3.9	0
08/01/2013	07	3.1	0	93	3.5	0
08/01/2013	08	3.3	0	93	2.8	12.5
08/01/2013	09	3.5	0	93	2.8	33
08/01/2013	10	4.1	0	93	4.2	59.1
08/01/2013	11	4.9	0	92	4.2	127.2
08/01/2013	12	6	0	91	4.1	157.9
08/01/2013	13	6.8	0	86	4	119.5
08/01/2013	14	7.3	0	84	5	107.8
08/01/2013	15	7.4	0	85	4.8	76.9
08/01/2013	16	7	0	86	3.9	33
08/01/2013	17	6.3	0	88	3.5	0
08/01/2013	18	6	0	89	4.1	0.2
08/01/2013	19	5.8	0	89	3	0
08/01/2013	20	5.5	0	90	2.1	0
08/01/2013	21	5.1	0	91	3.5	0.9
08/01/2013	22	4.9	0	92	3.7	0
09/01/2013	23	4.9	0	92	2.3	0
09/01/2013	00	4	0	92	2	0
09/01/2013	01	3.4	0	93	2.1	0
09/01/2013	02	3	0	93	2.5	0
09/01/2013	03	2.7	0	93	2.7	0
09/01/2013	04	3.8	0	93	3.1	0.5
09/01/2013	05	4	0	93	3	3.7
09/01/2013	06	3.8	0	93	2.2	4.4
09/01/2013	07	3.8	0	93	2.5	0
09/01/2013	08	4	0	93	1.9	13.8
09/01/2013	09	4.7	0	93	2.6	53.8
09/01/2013	10	5.4	0	92	2.7	66.5
09/01/2013	11	6	0	90	2.8	81
09/01/2013	12	6.4	0	87	2.9	93.2
09/01/2013	13	6.8	0	84	3.2	122.5
09/01/2013	14	7	0	83	2.3	97.4
09/01/2013	15	7.1	0	83	2.1	52.4
09/01/2013	16	6.7	0	85	1.8	7.8
09/01/2013	17	6.2	0	87	1.6	1.4
09/01/2013	18	5.9	0	88	2.1	0
09/01/2013	19	5.6	0	88	1.9	1.2
09/01/2013	20	5.5	0	88	1.8	0
09/01/2013	21	5.4	0	88	1.9	0
09/01/2013	22	5.3	0	88	1.4	3
10/01/2013	23	5.2	0	87	1.5	1.2
10/01/2013	00	4.9	0	88	0.7	0
10/01/2013	01	4.5	0	89	0.8	3.9
10/01/2013	02	3.6	0	91	0.6	0
10/01/2013	03	3.6	0	92	0.8	0
10/01/2013	04	4.1	0	91	0.5	2.1
10/01/2013	05	4	0	91	0.4	1.4
10/01/2013	06	3.9	0	92	0.7	1.2
10/01/2013	07	4	0	92	0.6	1.2
10/01/2013	08	4.1	0	92	1.3	6.9
10/01/2013	09	4.5	0	91	0.9	23.8
10/01/2013	10	5.5	0	88	2.5	111.7
10/01/2013	11	6.6	0	83	2.7	143.5
10/01/2013	12	7	0	81	2.9	123.9
10/01/2013	13	7.3	0	80	2.8	164.8
10/01/2013	14	7.6	0	80	3.2	128.1
10/01/2013	15	7.3	0	81	2.6	77.5
10/01/2013	16	6.8	0	84	2	15.5
10/01/2013	17	5.2	0	88	1.7	0
10/01/2013	18	3.5	0	91	1.2	0
10/01/2013	19	2.3	0	92	1.6	0
10/01/2013	20	1.8	0	93	0.8	0
10/01/2013	21	1.5	0	93	1.2	0
10/01/2013	22	1.5	0	93	1.1	0
11/01/2013	23	0.3	0	94	0.5	0
11/01/2013	00	0.1	0	94	1.2	0
11/01/2013	01	-0.6	0	94	1.4	0.5
11/01/2013	02	-1.2	0	94	0.7	0
11/01/2013	03	-0.5	0	94	0.5	2.8
11/01/2013	04	0.6	0	94	1.1	0
11/01/2013	05	1.9	0	93	0.8	0
11/01/2013	06	2.5	0	93	0.6	0
11/01/2013	07	3.2	0	93	0.7	0
11/01/2013	08	3.2	0	93	1.3	0.2
11/01/2013	09	3.3	0	93	1.1	33.2
11/01/2013	10	3.6	0	93	0.7	85.4
11/01/2013	11	4	0	93	1	60.9
11/01/2013	12	4.3	0.2	93	1.4	61.4
11/01/2013	13	4.5	0	93	2.8	52.4
11/01/2013	14	4.4	0	93	3.1	28.4
11/01/2013	15	4.3	0	93	3.2	7.8
11/01/2013	16	4.3	0	93	3.7	0.5
11/01/2013	17	4.4	0	93	2.9	0
11/01/2013	18	4.5	0	93	2.9	0.7
11/01/2013	19	4.1	0	93	2.3	0
11/01/2013	20	3.2	0	93	1.9	0
11/01/2013	21	3.9	0	93	2.7	3.9
11/01/2013	22	3.8	0	93	3.1	0
12/01/2013	23	3.8	0	93	2.3	0
12/01/2013	00	3.7	0	93	2.1	6.5
12/01/2013	01	3.7	0	93	0.9	0
12/01/2013	02	3.7	0	92	0.4	0
12/01/2013	03	3.8	0	92	1.5	0
12/01/2013	04	3.8	0	91	2	0
12/01/2013	05	3.7	0	89	1.2	3.7
12/01/2013	06	3.7	0	89	0.8	5.3
12/01/2013	07	3.7	0	90	2	0
12/01/2013	08	3.7	0	90	1.7	19.6
12/01/2013	09	4.1	0	89	0.3	73.4
12/01/2013	10	4.5	0	86	0.7	73.2
12/01/2013	11	4.7	0	86	1	100.9
12/01/2013	12	4.9	0	86	1.2	108
12/01/2013	13	5	0	85	0.7	69
12/01/2013	14	4.9	0	85	1.9	32.8
12/01/2013	15	4.8	0	85	0.3	20.8
12/01/2013	16	4.8	0	86	1.9	3.5
12/01/2013	17	4.5	0	87	1.4	0
12/01/2013	18	4.3	0	88	1.1	1.6
12/01/2013	19	4.2	0	88	0.9	0.5
12/01/2013	20	4	0	89	2.2	0
12/01/2013	21	3.8	0	89	0.5	3
12/01/2013	22	3.8	0	90	0.8	0
13/01/2013	23	3.9	0	90	0.3	0
13/01/2013	00	3.9	0	91	0.3	0.5
13/01/2013	01	3.6	0	91	0.7	0
13/01/2013	02	3.5	0	92	1.4	1.2
13/01/2013	03	3.6	0	92	0.4	0
13/01/2013	04	3.7	0	92	0.6	0
13/01/2013	05	3.7	0	92	0.1	1.8
13/01/2013	06	3.7	0	92	1	0
13/01/2013	07	4	0	92	1.5	0
13/01/2013	08	4.1	0	93	2.1	7.2
13/01/2013	09	4	0	93	1.8	18
13/01/2013	10	4.2	0	92	1.2	41.3
13/01/2013	11	4.8	0	83	1.1	71.1
13/01/2013	12	5.1	0	79	2.4	80.5
13/01/2013	13	5.1	0	81	1.6	62.8
13/01/2013	14	5.1	0	80	1.1	36.2
13/01/2013	15	5	0.2	82	1.1	12.2
13/01/2013	16	4.6	1.6	87	1.3	2.3
13/01/2013	17	4.3	3.4	91	2.6	0.5
13/01/2013	18	4	3	92	3.6	0
13/01/2013	19	3.7	1	92	4.6	2.3
13/01/2013	20	2.6	0.8	92	2.9	2.8
13/01/2013	21	2.5	0.8	92	4.9	0
13/01/2013	22	2	1.8	92	5	0
14/01/2013	23	2	1.6	92	4.6	0
14/01/2013	00	1.8	2.4	93	5.3	0.9
14/01/2013	01	1.9	0.8	93	3.9	0
14/01/2013	02	2.3	0.8	93	4.5	0
14/01/2013	03	1.7	1.4	93	6	1.2
14/01/2013	04	1.4	0.2	93	5.2	0
14/01/2013	05	1.9	0	93	4.4	0
14/01/2013	06	1.6	0	92	5.5	0
14/01/2013	07	1.3	0	92	3.9	0
14/01/2013	08	1.3	0	93	5.1	9.9
14/01/2013	09	1.9	0	92	5.5	92.3
14/01/2013	10	2.8	0	90	4.6	122.1
14/01/2013	11	2.9	0	90	4.7	50.3
14/01/2013	12	3	0	90	4.1	68.3
14/01/2013	13	3.3	0	89	3.5	57.7
14/01/2013	14	3.7	0	87	3.2	74.8
14/01/2013	15	3.8	0	86	2.5	27.5
14/01/2013	16	3.7	0	87	2.7	7.4
14/01/2013	17	3.5	0	89	1.4	0
14/01/2013	18	3.3	0	90	1.9	0
14/01/2013	19	3.4	0	91	1.5	0
14/01/2013	20	3.5	0	89	1.3	0
14/01/2013	21	3.5	0	88	1.7	0
14/01/2013	22	3.4	0	90	1.6	1.4
15/01/2013	23	3.3	0.2	90	0.8	0
15/01/2013	00	2.7	1.4	91	3.8	0
15/01/2013	01	0.9	0.2	92	0.9	0
15/01/2013	02	0.5	0	93	0.1	2.1
15/01/2013	03	0.4	0	93	0.7	0
15/01/2013	04	-0.2	0	93	0.4	0
15/01/2013	05	0.7	0	93	1.1	0
15/01/2013	06	0.8	0.2	93	1.3	0.2
15/01/2013	07	0.9	0	93	0.8	0
15/01/2013	08	1.3	0.2	93	0.4	12
15/01/2013	09	1.6	0.2	93	0.5	51.7
15/01/2013	10	2.6	0	93	0.2	175.6
15/01/2013	11	3.5	0	92	0.7	207.9
15/01/2013	12	4.3	0	88	2	160.4
15/01/2013	13	4.5	0	87	0.9	144.2
15/01/2013	14	4.6	0	84	0.4	122.1
15/01/2013	15	4.8	0	85	0.8	60
15/01/2013	16	4.8	0	87	1	11.3
15/01/2013	17	4.6	0	89	1.2	0
15/01/2013	18	3.3	0	91	1.2	0
15/01/2013	19	1.8	0	93	1.1	0
15/01/2013	20	-0.3	0	93	0.7	1.6
15/01/2013	21	0.7	0	93	1.6	0
15/01/2013	22	1.5	0.2	93	0.7	1.8
16/01/2013	23	2.4	0	93	2	0
16/01/2013	00	3.1	0	93	1.1	0
16/01/2013	01	2.9	0	93	1.4	0
16/01/2013	02	2.9	0.8	93	2	0
16/01/2013	03	3	0.8	93	2.5	0.5
16/01/2013	04	3.2	1	93	2.1	0
16/01/2013	05	3.8	1.2	93	2.1	0
16/01/2013	06	4.1	2	93	1.3	1.4
16/01/2013	07	3.4	3	93	4.3	0
16/01/2013	08	2.1	2.8	93	5	3.2
16/01/2013	09	2.1	2.2	93	4.8	18
16/01/2013	10	2.6	3	93	2.9	16.8
16/01/2013	11	3.7	4	91	5.2	23.5
16/01/2013	12	2.2	3.6	92	7.4	25.4
16/01/2013	13	2.3	2.6	92	7.2	36
16/01/2013	14	1.6	0.6	92	7.4	58.4
16/01/2013	15	2.4	0.2	91	7.3	58.2
16/01/2013	16	2.3	0.2	91	6.8	16.6
16/01/2013	17	2	0	91	8.1	0
16/01/2013	18	2	0	90	9.2	0
16/01/2013	19	1.9	0	90	8.8	0
16/01/2013	20	1.7	0.2	90	8.7	3
16/01/2013	21	1.2	0.4	91	8.2	0
16/01/2013	22	1.2	0.2	91	7.1	0
17/01/2013	23	1.2	0	91	6.4	0.2
17/01/2013	00	1	0.4	92	4.2	3.5
17/01/2013	01	0.8	0.4	92	4.1	0
17/01/2013	02	0.8	0	93	4	0
17/01/2013	03	1	0.2	92	2.9	0
17/01/2013	04	1.2	0	91	3.3	0
17/01/2013	05	1.2	0	91	0.6	4.8
17/01/2013	06	1	0	92	0.6	7.8
17/01/2013	07	0.6	0.2	93	0.6	1.4
17/01/2013	08	0.2	0	93	1.7	3.7
17/01/2013	09	0.3	0.2	93	0.2	15.5
17/01/2013	10	0.4	0.8	93	1.9	60.9
17/01/2013	11	0.4	1.2	93	2.2	81.5
17/01/2013	12	1	1	93	3	108.9
17/01/2013	13	0.9	2.8	93	4.1	41.1
17/01/2013	14	0.9	2.8	93	3.4	31.2
17/01/2013	15	1.3	1.8	92	4.7	21.2
17/01/2013	16	2.2	3.4	91	2.8	5.8
17/01/2013	17	2	1.2	92	2.2	0
17/01/2013	18	3	0	86	5.3	0.9
17/01/2013	19	2.9	0	85	5.9	1.4
17/01/2013	20	2.9	0	84	4.5	1.4
17/01/2013	21	2.5	0	86	4.5	1.6
17/01/2013	22	2.2	0	86	5.1	0
18/01/2013	23	2	0	86	5.3	0.9
18/01/2013	00	1.9	0	85	4.4	0
18/01/2013	01	2.1	0	82	5.3	0
18/01/2013	02	1.9	0	83	4.6	2.8
18/01/2013	03	1.8	0	82	4.5	0
18/01/2013	04	1.8	0	81	4.8	0
18/01/2013	05	1.7	0	78	3.8	0
18/01/2013	06	1.5	0	77	4.4	0
18/01/2013	07	1.2	0	78	4	1.8
18/01/2013	08	0.7	0	79	4.7	11.8
18/01/2013	09	1.3	0	76	5	70.4
18/01/2013	10	2.3	0	75	5.3	224.1
18/01/2013	11	3.3	0	69	6.9	300
18/01/2013	12	4.2	0	65	5.9	287.8
18/01/2013	13	4.4	0	65	5.4	92.5
18/01/2013	14	4.1	0	63	4.8	98.1
18/01/2013	15	4.2	0	68	2.7	64.9
18/01/2013	16	4.1	0	69	3.3	34.2
18/01/2013	17	2.4	0	76	3.1	2.5
18/01/2013	18	0.8	0	80	1.2	0
18/01/2013	19	-0.1	0	83	1.6	0
18/01/2013	20	-0.3	0	86	1.5	2.5
18/01/2013	21	-0.8	0	85	1.5	0
18/01/2013	22	-1	0	88	1.1	0
19/01/2013	23	-1.3	0	89	0.6	0
19/01/2013	00	-1.7	0	92	1	0
19/01/2013	01	-2.2	0	92	1	2.1
19/01/2013	02	-2.3	0	92	1	0
19/01/2013	03	-2.3	0	92	0.8	0
19/01/2013	04	-2.4	0	90	0.5	0
19/01/2013	05	-2.4	0	91	0.2	0
19/01/2013	06	-2.8	0	91	1.2	0
19/01/2013	07	-2.1	0	90	1.2	0
19/01/2013	08	-1.3	0	90	0.7	21.9
19/01/2013	09	-0.1	0	88	1.3	62.8
19/01/2013	10	0.9	0.2	85	0.9	111.5
19/01/2013	11	1.9	0	80	1.3	180.9
19/01/2013	12	2.6	0	77	1.3	135.7
19/01/2013	13	2.6	0	78	2.4	62.5
19/01/2013	14	2.7	0	81	2.6	70.6
19/01/2013	15	2.7	0.6	84	2.8	28.4
19/01/2013	16	2.4	0.6	88	3.5	11.8
19/01/2013	17	2.3	0.2	89	1.9	0.7
19/01/2013	18	2.4	0.2	91	2.7	3.5
19/01/2013	19	2.7	0.8	92	3.5	2.8
19/01/2013	20	2.7	0.2	92	4.2	0
19/01/2013	21	2.8	0.4	92	3.5	0
19/01/2013	22	2.7	0.6	92	3.7	0
20/01/2013	23	2.6	0.4	92	3.2	0.5
20/01/2013	00	2.9	0.6	92	2.3	0
20/01/2013	01	2.9	1.2	92	1.8	0
20/01/2013	02	2.8	0.6	92	2.1	0
20/01/2013	03	2.2	1	92	3.3	0
20/01/2013	04	1.9	0.2	93	3.4	0
20/01/2013	05	1.9	0	93	4.1	0
20/01/2013	06	1.8	0.4	93	3.3	2.8
20/01/2013	07	1.8	0	93	3	0
20/01/2013	08	1.9	0	93	3.1	3.9
20/01/2013	09	2.1	0	93	4.7	11.3
20/01/2013	10	2.2	0.4	93	4.8	19.4
20/01/2013	11	2.6	0.4	92	4.9	68.5
20/01/2013	12	3	0	92	4.4	76.4
20/01/2013	13	3.4	0	91	4.2	62.3
20/01/2013	14	3.7	0.2	90	3.7	41.3
20/01/2013	15	3.5	0	90	3.2	32.8
20/01/2013	16	3.4	0	91	1.8	9.2
20/01/2013	17	3.2	0	91	2.4	0.2
20/01/2013	18	3.1	0	91	1.8	0
20/01/2013	19	3	1	92	4.3	0
20/01/2013	20	2.7	0.2	92	2.7	0
20/01/2013	21	2.5	0.2	92	4	0
20/01/2013	22	2.2	1.4	92	1.4	0
21/01/2013	23	2.2	0	92	3.1	0
21/01/2013	00	2.2	0	92	3	2.5
21/01/2013	01	2.3	0	92	2.1	0
21/01/2013	02	2.4	0	92	2.8	0
21/01/2013	03	2.2	0	92	3.1	5.1
21/01/2013	04	2.3	0	92	2.8	3.9
21/01/2013	05	2.3	0	92	2.2	0
21/01/2013	06	2.3	0	92	3.6	0
21/01/2013	07	2.4	0.2	93	4.1	0
21/01/2013	08	2.6	0.2	93	3.6	20.8
21/01/2013	09	3.1	0	93	4.3	61.6
21/01/2013	10	3.6	0	92	4.8	84.9
21/01/2013	11	4.4	0	89	4.6	153
21/01/2013	12	5.1	0	88	5.2	141.7
21/01/2013	13	5.3	0	88	5.6	131.8
21/01/2013	14	5.2	0	87	6.2	83.5
21/01/2013	15	5.4	0.2	87	4.4	77.5
21/01/2013	16	5.7	0	85	4.4	46.6
21/01/2013	17	4.8	0	86	2.3	0
21/01/2013	18	4	0	88	2.5	0
21/01/2013	19	3.3	0	90	1.7	0
21/01/2013	20	2.5	0	91	2.6	0
21/01/2013	21	1.4	0	91	2.1	0
21/01/2013	22	1.2	0	92	1.2	0
22/01/2013	23	1.2	0	92	1.2	0
22/01/2013	00	1	0	92	1.8	0
22/01/2013	01	0.1	0	92	0.9	0.9
22/01/2013	02	0.5	0	93	1.1	4.4
22/01/2013	03	0.3	0	92	2	0
22/01/2013	04	0.7	0	92	1.4	0
22/01/2013	05	1.2	0	92	0.4	0
22/01/2013	06	1.3	0	92	0.9	0
22/01/2013	07	1.4	0	92	0.5	1.6
22/01/2013	08	1.6	0	92	0.5	15.2
22/01/2013	09	2.7	0	91	1.5	85.6
22/01/2013	10	4.6	0	87	3.9	225.5
22/01/2013	11	5.5	0	86	3.9	147
22/01/2013	12	5.5	0	87	3.6	46.6
22/01/2013	13	5	0	88	3.4	27.2
22/01/2013	14	5.1	0.2	90	3.3	26.3
22/01/2013	15	5.1	0	91	3.1	18
22/01/2013	16	5.2	0	90	3	0.9
22/01/2013	17	5.1	0	89	2.7	0
22/01/2013	18	4.2	0	90	2.2	0
22/01/2013	19	3.9	0	90	2.4	0.7
22/01/2013	20	2.5	0	91	2.3	0.2
22/01/2013	21	1.3	0	92	3	0
22/01/2013	22	1.2	0	93	2.4	0
23/01/2013	23	0.6	0	93	1.8	0
23/01/2013	00	0.3	0	93	1	0
23/01/2013	01	-0.2	0	93	0.6	0
23/01/2013	02	-0.8	0	94	1.7	0.7
23/01/2013	03	-1.4	0	94	0.4	0
23/01/2013	04	-1	0	94	0.6	3
23/01/2013	05	-1.5	0	94	0.6	0
23/01/2013	06	-1.9	0	94	0.8	0
23/01/2013	07	-1.2	0	94	1.9	1.2
23/01/2013	08	-0.8	0	94	1.7	81.2
23/01/2013	09	0.8	0	93	0.9	131.8
23/01/2013	10	2.5	0.2	91	1.5	291
23/01/2013	11	5.1	0	87	2.3	417
23/01/2013	12	6.7	0	82	3.7	305.8
23/01/2013	13	8.1	0	78	2.9	277.2
23/01/2013	14	7.6	0.2	82	3.4	80.8
23/01/2013	15	7.5	0	84	3.6	47.1
23/01/2013	16	7.3	0	86	4.5	15.2
23/01/2013	17	6.9	0.2	87	1.2	0
23/01/2013	18	6.2	0	89	1.8	0
23/01/2013	19	5.6	0	90	2.3	0
23/01/2013	20	5.2	0	91	1.4	3
23/01/2013	21	5.2	0	89	2.6	0
23/01/2013	22	5.4	0	90	2.5	0
24/01/2013	23	5.5	0	85	3.2	2.3
24/01/2013	00	5.4	0	85	3	0.2
24/01/2013	01	5.4	0	86	2.2	1.8
24/01/2013	02	5.1	0	87	2.6	0
24/01/2013	03	4.7	0.2	89	3.9	0
24/01/2013	04	4.5	0.6	91	4.2	0
24/01/2013	05	4.5	0.6	91	4.4	0
24/01/2013	06	4.4	0	90	4.5	0
24/01/2013	07	4.6	0	88	3.8	0
24/01/2013	08	4.6	0	89	5.1	20.1
24/01/2013	09	4.6	0	89	5.6	22.4
24/01/2013	10	4.8	0	88	6.7	57.5
24/01/2013	11	5.2	0	87	6.2	84.9
24/01/2013	12	5.9	0	85	6.1	121.4
24/01/2013	13	6.5	0	81	7.2	130.4
24/01/2013	14	6.2	0	82	4.7	79.4
24/01/2013	15	6.4	0	82	4.8	93.2
24/01/2013	16	6	0	83	4.4	35.3
24/01/2013	17	5.2	0	85	3.8	0
24/01/2013	18	4.8	0	86	4.2	0
24/01/2013	19	5.3	0	84	3.7	0
24/01/2013	20	5.3	0	84	3.4	0.9
24/01/2013	21	4.9	0	87	2	0
24/01/2013	22	5.4	0	82	2.4	0.9
25/01/2013	23	6.4	0.4	74	5.4	0
25/01/2013	00	5.5	0.6	80	1.5	1.4
25/01/2013	01	4.9	0	84	0.6	0.5
